section,threshold,count,mean_domain_diversity,median_domain_diversity
diversity_by_threshold,2,109,2.99,2.0
diversity_by_threshold,3,48,4.52,3.5
diversity_by_threshold,4,29,5.83,5.0
diversity_by_threshold,5,23,6.52,6.0

coverage_frequency,topic_coverage,crt_count,share
coverage_frequency,1,344,0.7594
coverage_frequency,2,61,0.1347
coverage_frequency,3,19,0.0419
coverage_frequency,4,6,0.0132
coverage_frequency,5,6,0.0132
coverage_frequency,6,2,0.0044
coverage_frequency,7,2,0.0044
coverage_frequency,9,2,0.0044
coverage_frequency,10,4,0.0088
coverage_frequency,11,1,0.0022
coverage_frequency,13,1,0.0022
coverage_frequency,14,1,0.0022
coverage_frequency,15,1,0.0022
coverage_frequency,16,1,0.0022
coverage_frequency,22,1,0.0022
coverage_frequency,23,1,0.0022
